Image,Actual,Predicted,Confidence
Normal (100).jpg,Normal,Normal,51.00%
Normal (101).jpg,Normal,Normal,97.00%
Normal (102).jpg,Normal,Normal,89.00%
Normal (104).jpg,Normal,Normal,92.00%
Normal (105).jpg,Normal,Normal,92.00%
Normal (106).jpg,Normal,Normal,84.00%
Normal (108).jpg,Normal,Normal,99.00%
Normal (11).jpg,Normal,Normal,81.00%
Normal (111).jpg,Normal,Normal,95.00%
Normal (112).jpg,Normal,Normal,97.00%
Normal (113).jpg,Normal,Normal,95.00%
Normal (115).jpg,Normal,Normal,75.00%
Normal (116).jpg,Normal,Normal,99.00%
Normal (117).jpg,Normal,Normal,75.00%
Normal (118).jpg,Normal,Normal,95.00%
Normal (120).jpg,Normal,Normal,94.00%
Normal (121).jpg,Normal,Normal,92.00%
Normal (124).jpg,Normal,Normal,94.00%
Normal (125).jpg,Normal,Normal,97.00%
Normal (126).jpg,Normal,Normal,90.00%
Normal (127).jpg,Normal,Normal,100.00%
Normal (129).jpg,Normal,Normal,96.00%
Normal (130).jpg,Normal,Tumor,74.00%
Normal (132).jpg,Normal,Normal,99.00%
Normal (133).jpg,Normal,Normal,77.00%
Normal (134).jpg,Normal,Normal,96.00%
Normal (137).jpg,Normal,Normal,83.00%
Normal (138).jpg,Normal,Normal,95.00%
Normal (139).jpg,Normal,Normal,80.00%
Normal (14).jpg,Normal,Normal,89.00%
Normal (140).jpg,Normal,Normal,68.00%
Normal (141).jpg,Normal,Normal,97.00%
Normal (142).jpg,Normal,Normal,100.00%
Normal (143).jpg,Normal,Normal,85.00%
Normal (144).jpg,Normal,Normal,84.00%
Normal (145).jpg,Normal,Normal,81.00%
Normal (146).jpg,Normal,Normal,86.00%
Normal (147).jpg,Normal,Normal,88.00%
Normal (148).jpg,Normal,Normal,97.00%
Normal (149).jpg,Normal,Normal,70.00%
Normal (15).jpg,Normal,Normal,82.00%
Normal (150).jpg,Normal,Normal,96.00%
Normal (151).jpg,Normal,Normal,88.00%
Normal (152).jpg,Normal,Normal,97.00%
Normal (153).jpg,Normal,Normal,82.00%
Normal (154).jpg,Normal,Normal,89.00%
Normal (156).jpg,Normal,Tumor,64.00%
Normal (157).jpg,Normal,Normal,90.00%
Normal (158).jpg,Normal,Normal,100.00%
Normal (159).jpg,Normal,Normal,90.00%
Normal (16).jpg,Normal,Normal,83.00%
Normal (161).jpg,Normal,Normal,79.00%
Normal (162).jpg,Normal,Normal,74.00%
Normal (163).jpg,Normal,Normal,98.00%
